Wpisy tekstowe dla probki : Nr probki,"T2"
Wlasciwosci probki : Szerokosc,"10.00",mm
Wla�ciwo�ci pr�bki : Grubo��,"1.00",mm
Pole przekroju : Pole przekroju,"10.00",mm^2
Test : Tempo 1,"0.2",mm/min
Wlasciwosci probki : Rozpi�to�� podparcia,"80.00000",mm
Uwagi do probki : 1 Notatka o pr�bce,""

Godzina,obci��enie,Przemieszczenie przy zginaniu
(s),(N),(mm)
"44.70000","89.33245","0.14870"
"44.80000","89.53734","0.14903"
"44.90000","89.74771","0.14937"
"45.00000","89.95522","0.14970"
"45.10000","90.17675","0.15004"
"45.20000","90.39957","0.15037"
"45.30000","90.60700","0.15071"
"45.40000","90.81498","0.15103"
"45.50000","91.01911","0.15136"
"45.60000","91.25121","0.15171"
"45.70000","91.46550","0.15203"
"45.80000","91.65083","0.15238"
"45.90000","91.87851","0.15270"
"46.00000","92.12608","0.15303"
"46.10000","92.32230","0.15337"
"46.20000","92.51440","0.15370"
"46.30000","92.78291","0.15403"
"46.40000","92.96006","0.15437"
"46.50000","93.06219","0.15470"
"46.60000","93.41177","0.15503"
"46.70000","93.61205","0.15537"
"46.80000","93.84428","0.15569"
"46.90000","94.00908","0.15602"
"47.00000","94.23092","0.15636"
"47.10000","94.44957","0.15670"
"47.20000","94.68532","0.15703"
"47.30000","94.89062","0.15738"
"47.40000","95.10791","0.15771"
"47.50000","95.30575","0.15804"
"47.60000","95.54890","0.15838"
"47.70000","95.76032","0.15871"
"47.80000","95.97381","0.15905"
"47.90000","96.17670","0.15938"
"48.00000","96.40073","0.15972"
"48.10000","96.61331","0.16006"
"48.20000","96.83768","0.16040"
"48.30000","97.04536","0.16074"
"48.40000","97.26561","0.16109"
"48.50000","97.50988","0.16145"
"48.60000","97.71734","0.16178"
"48.70000","97.94775","0.16214"
"48.80000","98.14341","0.16246"
"48.90000","98.35516","0.16281"
"49.00000","98.58329","0.16314"
"49.10000","98.78360","0.16346"
"49.20000","98.98464","0.16379"
"49.30000","99.19816","0.16413"
"49.40000","99.39473","0.16444"
"49.50000","99.60820","0.16476"
"49.60000","99.82421","0.16509"
"49.70000","100.03125","0.16542"
"49.80000","100.27773","0.16577"
"49.90000","100.48677","0.16610"
"50.00000","100.70759","0.16644"
"50.10000","100.93411","0.16678"
"50.20000","101.15330","0.16712"
"50.30000","101.39137","0.16747"
"50.40000","101.60373","0.16781"
"50.50000","101.80939","0.16815"
"50.60000","102.03728","0.16848"
"50.70000","102.24194","0.16881"
"50.80000","102.44830","0.16915"
"50.90000","102.66682","0.16948"
"51.00000","102.88332","0.16981"
"51.10000","103.08829","0.17013"
"51.20000","103.30930","0.17047"
"51.30000","103.53204","0.17080"
"51.40000","103.74470","0.17114"
"51.50000","103.95602","0.17147"
"51.60000","104.17540","0.17181"
"51.70000","104.40152","0.17214"
"51.80000","104.61826","0.17247"
"51.90000","104.82967","0.17279"
"52.00000","105.01447","0.17312"
"52.10000","105.22012","0.17343"
"52.20000","105.43315","0.17374"
"52.30000","105.63144","0.17405"
"52.40000","105.83776","0.17437"
"52.50000","106.06813","0.17470"
"52.60000","106.29608","0.17503"
"52.70000","106.51395","0.17537"
"52.80000","106.74525","0.17572"
"52.90000","106.97880","0.17606"
"53.00000","107.19079","0.17640"
"53.10000","107.40567","0.17673"
"53.20000","107.62065","0.17706"
"53.30000","107.83914","0.17739"
"53.40000","108.05315","0.17772"
"53.50000","108.26768","0.17805"
"53.60000","108.48930","0.17838"
"53.70000","108.71482","0.17873"
"53.80000","108.91637","0.17905"
"53.90000","109.11582","0.17937"
